#                PTC                  CN               Count
             -3.2025                   6                   0
             -3.2025                   7                   0
             -3.2025                   8     0.0009996557852
             -3.2025                   9                   0
             -3.2025                  10                   0
             -3.2025                  11                   0
             -3.2025                  12                   0
             -3.2025                  13                   0
             -3.2025                  14                   0
             -3.1955                   0                   0
             -3.1955                   1                   0
             -3.1955                   2                   0
             -3.1955                   3                   0
             -3.1955                   4                   0
             -3.1955                   5                   0
             -3.1955                   6                   0
             -3.1955                   7                   0
             -3.1955                   8       0.00199931157
             -3.1955                   9                   0
             -3.1955                  10                   0
             -3.1955                  11                   0
             -3.1955                  12                   0
             -3.1955                  13                   0
             -3.1955                  14                   0
             -3.1885                   0                   0
             -3.1885                   1                   0
             -3.1885                   2                   0
             -3.1885                   3                   0
             -3.1885                   4                   0
             -3.1885                   5                   0
             -3.1885                   6     0.0003332185951
             -3.1885                   7     0.0003332185951
             -3.1885                   8     0.0009996557852
             -3.1885                   9                   0
             -3.1885                  10                   0
             -3.1885                  11                   0
             -3.1885                  12                   0
             -3.1885                  13                   0
             -3.1885                  14                   0
             -3.1815                   0                   0
             -3.1815                   1                   0
             -3.1815                   2                   0
             -3.1815                   3                   0
             -3.1815                   4                   0
             -3.1815                   5                   0
             -3.1815                   6                   0
             -3.1815                   7     0.0003332185951
             -3.1815                   8      0.001666092975
             -3.1815                   9                   0
             -3.1815                  10                   0
             -3.1815                  11                   0
             -3.1815                  12                   0
             -3.1815                  13                   0
             -3.1815                  14                   0
             -3.1745                   0                   0
             -3.1745                   1                   0
             -3.1745                   2                   0
             -3.1745                   3                   0
             -3.1745                   4                   0
             -3.1745                   5                   0
             -3.1745                   6                   0
             -3.1745                   7                   0
             -3.1745                   8       0.00199931157
             -3.1745                   9                   0
             -3.1745                  10                   0
             -3.1745                  11                   0
             -3.1745                  12                   0
             -3.1745                  13                   0
             -3.1745                  14                   0
             -3.1675                   0                   0
             -3.1675                   1                   0
             -3.1675                   2                   0
             -3.1675                   3                   0
             -3.1675                   4                   0
             -3.1675                   5                   0
             -3.1675                   6      0.002332530165
             -3.1675                   7     0.0003332185951
             -3.1675                   8      0.001666092975
             -3.1675                   9                   0
             -3.1675                  10                   0
             -3.1675                  11                   0
             -3.1675                  12                   0
             -3.1675                  13                   0
             -3.1675                  14                   0
             -3.1605                   0                   0
             -3.1605                   1                   0
             -3.1605                   2                   0
             -3.1605                   3                   0
             -3.1605                   4                   0
             -3.1605                   5                   0
             -3.1605                   6     0.0006664371901
             -3.1605                   7     0.0006664371901
             -3.1605                   8      0.001666092975
             -3.1605                   9                   0
             -3.1605                  10                   0
             -3.1605                  11                   0
             -3.1605                  12                   0
             -3.1605                  13                   0
             -3.1605                  14                   0
             -3.1535                   0                   0
             -3.1535                   1                   0
             -3.1535                   2                   0
