#                  R                OClO                ClOO                 OOO             OO(cl)O
              129.06                   0       0.00684699638      0.008770115422      0.007825895523
              129.42                   0      0.006879362481      0.008675083641      0.007593078769
              129.78                   0      0.007023443832      0.008564166986      0.007493789271
              130.14                   0      0.006812542144      0.008475031337      0.007686376659
               130.5                   0      0.006566142152       0.00832998648      0.007638443798
              130.86                   0      0.006299904873      0.008200340934      0.007572536114
              131.22                   0      0.006233084536      0.008090534139      0.007434729138
              131.58                   0      0.006228908265      0.008034555564      0.007825895523
              131.94                   0      0.006304081144      0.007924055107      0.007429593475
               132.3                   0       0.00629677267      0.007824237054      0.007231014478
              132.66                   0      0.006382386226      0.007705412644      0.007363685791
              133.02                   0       0.00625918623      0.007632300603      0.007301201882
              133.38                   0      0.006353152329      0.007544482913      0.007247277413
              133.74                   0      0.006258142162      0.007424409911      0.007059825689
               134.1                   0       0.00598877268      0.007346511597      0.007208759936
              134.46                   0      0.005955362512      0.007283457664      0.007337151528
              134.82                   0      0.005963715054      0.007183500878      0.007232726366
              135.18                   0      0.005966847257      0.007047681734      0.007248989301
              135.54                   0      0.006074386236      0.006971795042      0.007431305362
               135.9                   0      0.006174616742      0.006835767799      0.007271243844
              136.26                   0       0.00608691505      0.006714793036      0.007161683019
              136.62                   0      0.006094223524      0.006608246455      0.007098343166
              136.98                   0      0.006201762503      0.006592847145      0.007248133357
              137.34                   0      0.006015918442      0.006390297655      0.006911747386
               137.7                   0      0.006044108271       0.00635568389      0.007016172547
              138.06                   0      0.005712094723      0.006325509565      0.006861246693
              138.42                   0      0.005715226926       0.00622610771      0.006891204731
              138.78                   0      0.005623348963      0.006119144931      0.006696905454
              139.14                   0      0.005457342189      0.006025292377      0.006488911075
               139.5                   0      0.005221382875      0.005966747251      0.006850975365
              139.86                   0      0.005090874405       0.00593074616      0.006831288654
              140.22                   0      0.004766169331      0.005837934099      0.006637845322
              140.58                   0       0.00450097612      0.005717306167      0.006529996384
              140.94                   0      0.004506196459       0.00566639133      0.006485487299
               141.3                   0      0.004441464257      0.005596816968      0.006523148833
              141.66                   0      0.004513504933       0.00548687144      0.006430706886
              142.02                   0      0.004265016806      0.005414453061      0.006327137669
              142.38                   0      0.004408054089      0.005363815689      0.006231271946
              142.74                   0      0.004203416808      0.005277732156      0.006241543274
               143.1                   0      0.003982074442      0.005161196833      0.006355383819
              143.46                   0      0.003823376143      0.005089818948      0.006148245383
              143.82                   0       0.00367511852      0.005030649525      0.005909437022
              144.18                   0      0.003783701568      0.004997353719      0.006150813215
              144.54                   0      0.003625003268      0.004961144529       0.00597620065
               144.9                   0      0.003387999886      0.004863962394      0.005790460813
              145.26                   0      0.003587416829      0.004833857436      0.005699730754
              145.62                   0      0.003426630393      0.004799659868      0.005802444028
              145.98                   0      0.003285681245      0.004770387305      0.005530253852
              146.34                   0       0.00314368803      0.004701992169      0.005220402143
               146.7                   0      0.003060162609       0.00466501995      0.005052637129
              147.06                   0      0.002907728716      0.004623469559       0.00484036303
              147.42                   0      0.002811674482      0.004596555448      0.004802701496
              147.78                   0      0.002858657531      0.004558612102      0.004579300125
              148.14                   0      0.002773043975      0.004463996519       0.00451082461
               148.5                   0      0.002673857537      0.004429868317      0.004503977058
              148.86                   0      0.002696827028      0.004391092576      0.004551053975
              149.22                   0      0.002757382958      0.004369658401      0.004590427397
              149.58                   0      0.002761559229      0.004297933684      0.004313957501
              149.94                   0      0.002727104993      0.004198184997      0.004153040039
               150.3                   0       0.00272397279      0.004101280327       0.00407514914
              150.66                   0      0.002617477878      0.004019150671      0.003961308594
              151.02                   0      0.002543349067      0.004007982703       0.00394076594
              151.38                   0      0.002561098219      0.003937784044      0.004052038653
              151.74                   0      0.002427457545      0.003881666737      0.004040055438
               152.1                   0      0.002405532122      0.003749315906      0.003816654067
              152.46                   0      0.002588243981      0.003681753166      0.003921079229
              152.82                   0      0.002587199913      0.003660943287      0.003828637282
              153.18                   0      0.002549613474      0.003588802373      0.003718220513
              153.54                   0      0.002610169404      0.003550373463      0.003950181323
               153.9                   0      0.002583023642      0.003527343863       0.00400153796
              154.26                   0      0.002568406693      0.003423225102      0.003738763168
              154.62                   0      0.002550657541      0.003330482408      0.003589828921
              154.98                   0      0.002480705001       0.00324987881      0.003504234526
              155.34                   0      0.002407620258      0.003195565025        0.0034725646
               155.7                   0      0.002249966026      0.003155124494      0.003256866725
              156.06                   0      0.002122589759      0.003146384344      0.003448598169
              156.42                   0      0.001961803324      0.003092972322      0.003241459734
              156.78                   0       0.00193570163      0.003060162079      0.003210645752
              157.14                   0      0.001880366038       0.00299683068      0.003019770251
               157.5                   0      0.001858440615      0.002991142647      0.003169560442
              157.86                   0      0.001923172817      0.002951187679      0.003201230368
              158.22                   0      0.001921084681      0.002834305525      0.003131042964
              158.58                   0      0.002040108406      0.002769448069      0.003002651372
              158.94                   0      0.002035932135      0.002692312784       0.00290678565
               159.3                   0      0.001923172817      0.002604911292      0.002787809441
              159.66                   0      0.001883498242      0.002543938346       0.00270307099
              160.02                   0      0.001854264344      0.002472837926      0.002612340931
              160.38                   0      0.001751945704      0.002446131915      0.002626036035
              160.74                   0      0.001667376215      0.002372534309      0.002590942333
               161.1                   0      0.001496149102      0.002344995903      0.002453991301
              161.46                   0      0.001400094868      0.002300878959      0.002292217895
              161.82                   0      0.001239308433      0.002241501438      0.002210047275
              162.18                   0       0.00111924064      0.002225685929       0.00229992139
              162.54                   0      0.001063905049      0.002190101036       0.00240177872
               162.9                   0      0.001056596575      0.002136619647        0.0024753899
              163.26                   0     0.0009584542051      0.002125174214      0.002513051433
              163.62                   0      0.001024230474      0.002085011147      0.002644010857
              163.98                   0      0.001056596575      0.002003713886      0.002631171698
              164.34                   0      0.001076433862      0.001959250112       0.00249507661
               164.7                   0      0.001152650809      0.001887456029      0.002407770328
              165.06                   0      0.001136989792      0.001861721145      0.002440296198
              165.42                   0      0.001143254199       0.00183563943      0.002531026256
              165.78                   0      0.001320745718      0.001799360874       0.00250363605
              166.14                   0      0.001216338942      0.001780770716       0.00244286403
               166.5                   0      0.001244528772      0.001741440044      0.002413761935
              166.86                   0      0.001191281316      0.001716260091      0.002396643056
              167.22                   0      0.001192325384      0.001674362867      0.002322175933
              167.58                   0      0.001174576232      0.001590915253      0.002139859872
              167.94                   0      0.001133857589      0.001593828636      0.002127876656
               168.3                   0      0.001146386402       0.00154381556      0.002085935403
              168.66                   0      0.001186060977      0.001488253183        0.0019378571
              169.02                   0      0.001265410127      0.001435326724      0.001959255699
              169.38                   0      0.001116108437      0.001391556611      0.001921594165
              169.74                   0      0.001085830472      0.001362006583      0.001857398369
               170.1                   0      0.001185016909       0.00129264032      0.001774371806
              170.46                   0      0.001019010135      0.001252893451      0.001659675316
              170.82                   0      0.000954277934      0.001188937756      0.001539843164
              171.18                   0      0.001044067762      0.001158485966      0.001606606792
              171.54                   0      0.001053464371      0.001131225025      0.001550114491
               171.9                   0     0.0009699389504      0.001087663011      0.001485062751
              172.26                   0      0.001005437254      0.001026690066      0.001369510318
              172.62                   0      0.001064949117     0.0009424100554      0.001175211042
              172.98                   0      0.001075389794     0.0008833099989      0.001080201263
              173.34                   0      0.001030494881     0.0008371814337      0.001002310364
               173.7                   0      0.001051376236     0.0007970183672     0.0009492418391
              174.06                   0      0.001059728778     0.0007644855896     0.0009963187563
              174.42                   0     0.0009730711537     0.0007038594754      0.000884190099
              174.78                   0      0.001027362677     0.0006392101178     0.0007532306748
              175.14                   0      0.001093138946     0.0005814973866     0.0007446712354
               175.5                   0     0.0009782914925       0.00054077939     0.0006462376813
              175.86                   0     0.0009553220018     0.0005034603402     0.0006462376813
              176.22                   0     0.0008634440388     0.0004731472831      0.000649661457
              176.58                   0     0.0008342101414     0.0004247296312     0.0006376782418
              176.94                   0      0.000814372854     0.0003971218583     0.0005726265017
               177.3                   0     0.0007016135357     0.0003431549054     0.0004656335081
              177.66                   0     0.0005951186241     0.0003079862098     0.0003303943642
              178.02                   0     0.0004604338828     0.0002619963771     0.0002679104559
              178.38                   0     0.0003549830389     0.0002157290794     0.0001951552203
              178.74                   0     0.0002349152463     0.0001603054349     0.0001343831999
               179.1                   0     0.0001660067741      0.000106893412     0.0001155524331
              179.46                   0     0.0001169355893     6.985182731e-05     8.730628277e-05
              179.82                   0     3.549830389e-05     2.594298254e-05      3.16699261e-05
