                  #X                  OH                  OO                 OCl                 HCl
               5.586        0.9898789698        0.8119870937        0.8823832005        0.9837535943
               5.598        0.9897543115        0.7991879635        0.9130143519        0.9955985646
                5.61        0.9837661253        0.7862007394        0.8360181078        0.9742123578
               5.622        0.9887229679        0.7997440777        0.9439016302        0.9313920905
               5.634        0.9821969358        0.8182697699        0.8266458729        0.9727243902
               5.646        0.9823755038        0.8078506885         0.782542711        0.9640835993
               5.658         0.978622815        0.8143367996        0.7949461308        0.9588757001
                5.67        0.9816014071        0.8103966056        0.7938209567         1.004015802
               5.682        0.9648771243         0.826628553        0.8416851531         1.010912856
               5.694        0.9760540609        0.8157570008        0.7982297341        0.9667449002
               5.706        0.9704284361        0.8238951091        0.7970838211        0.9516430108
               5.718        0.9640735779        0.8256757002        0.7827481023         1.054291334
                5.73        0.9639149253        0.8384165732        0.7969892579         0.962298843
               5.742         0.958471251        0.8284093256        0.7129871539         1.028053343
               5.754        0.9610777011        0.8314370717        0.7013311628        0.9597163281
               5.766        0.9562749787        0.8381392212        0.7805815031        0.9838354125
               5.778        0.9535033182        0.8300130687        0.8225619549         1.010976015
                5.79        0.9508314909        0.8487007963        0.8191559061        0.8963538449
               5.802        0.9513599277        0.8636338716         0.832855178        0.9140051697
               5.814        0.9495297619        0.8562241497        0.7549855349        0.9708475963
               5.826         0.953707496        0.8573399567        0.7963559288        0.9721472641
               5.838        0.9464093104        0.8625239817        0.7614464295        0.9512807194
                5.85        0.9540506853        0.8691920898        0.7583257518        0.9316273432
               5.862        0.9410499561        0.8762633205        0.7468560839        0.9225869272
               5.874        0.9373742979        0.8901484124        0.7208892515        0.8573581706
               5.886        0.9382660172        0.8799352307        0.7615280157          0.95450378
               5.898        0.9374041805        0.8886264916        0.7026349003        0.9134253704
                5.91        0.9413113725         0.885413557        0.7800538521        0.9272144073
               5.922        0.9296100785        0.8996593924        0.7768957437        0.8886129417
               5.934        0.9367262783        0.8990705689        0.7308837086        0.8666484198
               5.946        0.9366608182        0.9080326473        0.6710030119          0.90077071
               5.958        0.9285037178        0.9237301263        0.7452588825        0.9356239232
                5.97        0.9371010673        0.9204045674         0.689823181        0.8683300568
               5.982         0.933727812        0.9327233407        0.8136217449        0.8979973333
               5.994        0.9294212181        0.9477946244        0.8003627282        0.8864017215
