#              angle               total                nH:2                nH:3                nH:4                nH:5                nH:6                nH:7                nH:8                nH:9                nH:10
#         Num count:             6680786                  14               32106              595440             3118820             2639070              281064               13552                 720                   0
               56.34      0.004481342298                   0      0.002941644691      0.004450490394      0.004118366704      0.004812301303      0.005653121314      0.004509379509                   0                 nan
                56.7      0.004789855565                   0      0.007267592766      0.004898338484      0.004531628415      0.004965974967      0.005297330462      0.008198871835       0.01543209877                 nan
               57.06      0.004938706979                   0      0.005018099767      0.005103602191      0.004725790167      0.005067020663      0.005633355155      0.006149153876       0.02314814815                 nan
               57.42      0.005243893957                   0      0.009171009919      0.005598101124      0.005009016943      0.005361737279      0.005455459729      0.006559097468       0.01543209877                 nan
               57.78      0.005280483131                   0      0.006748478997      0.005784704495      0.005069581159      0.005307004193      0.006068210641      0.006149153876       0.01543209877                 nan
               58.14      0.005622259284                   0       0.00692151692      0.006101930225      0.005522031481      0.005605931046      0.005712419789      0.005329266693       0.01543209877                 nan
                58.5      0.006021413914                   0      0.005710251459      0.006652410169      0.005846228167      0.006098528817       0.00594961369      0.005739210285      0.007716049383                 nan
               58.86       0.00627171713                   0      0.004672023921      0.006577768821      0.006207832164      0.006334302109      0.006028678324      0.004099435918      0.007716049383                 nan
               59.22      0.006482936456                   0      0.006402403151      0.007361502978      0.006401993917      0.006391140313      0.006542598443      0.003689492326                   0                 nan
               59.58      0.006721597662                   0      0.005537213536      0.007473465001      0.006576561363      0.006770061676      0.006522832285      0.004919323101                   0                 nan
               59.94      0.006973564022                   0      0.004498985998      0.007856001911      0.006669188988      0.007250028735      0.006186807591       0.00696904106                   0                 nan
                60.3      0.006961922012                   0      0.004845061844      0.008425142192      0.006649594683      0.007123721614       0.00620657375      0.003279548734       0.01543209877                 nan
               60.66      0.007504107052                   0      0.006748478997       0.00901294281      0.007297988057      0.007490012264      0.006937921612      0.004509379509       0.01543209877                 nan
               61.02       0.00753820151                   0       0.00865189615      0.009180885844      0.007224954737      0.007675262708       0.00620657375      0.005739210285      0.007716049383                 nan
               61.38       0.00802633436                   0       0.00692151692      0.009236866855       0.00768274896      0.008287852244       0.00709605088      0.004919323101      0.007716049383                 nan
               61.74      0.008151070182                   0      0.008997971996        0.0101139027      0.008051478159      0.007877354102      0.007807632583      0.003279548734      0.007716049383                 nan
                62.1      0.008269984999                   0      0.005710251459       0.01034715691      0.007969538337      0.008245749871        0.0078471649      0.005739210285      0.007716049383                 nan
               62.46      0.008524446076                   0      0.007440630689       0.01071103348      0.008414863456      0.008338375093      0.007056518563       0.00696904106      0.007716049383                 nan
               62.82      0.008813001611                   0      0.008305820304       0.01121486259      0.008853063374      0.008384687704      0.007511140207      0.006149153876                   0                 nan
               63.18      0.009186377504                   0       0.01176657876       0.01175601236      0.009227136474      0.008658353132      0.008064592643       0.00696904106      0.007716049383                 nan
               63.54      0.009392607397                   0      0.009517085765       0.01211055877      0.009122039746      0.009216209582      0.008558746604      0.003279548734       0.01543209877                 nan
                63.9       0.00956058497                   0       0.00986316161       0.01186797438      0.009608334776      0.009119374123      0.008538980446      0.004099435918                   0                 nan
               64.26      0.009996328775                   0      0.009517085765       0.01274501023      0.009761526617      0.009845640068      0.008578512763      0.003689492326                   0                 nan
               64.62       0.01009195957                   0       0.00986316161       0.01294094377      0.009879092449      0.009927739696      0.008301786544      0.004099435918                   0                 nan
               64.98       0.01050940879                   0       0.01245873046        0.0137619986       0.01009462981        0.0104919115      0.008420383495      0.005739210285                   0                 nan
               65.34       0.01072977541                   0      0.009690123688       0.01433113888       0.01057736224       0.01028139963      0.009309860625      0.007378984652                   0                 nan
                65.7       0.01074141742                   0       0.01193961669       0.01404190365       0.01054529883       0.01042033747      0.009230795991      0.002049717959      0.007716049383                 nan
               66.06       0.01110148816                   0       0.01142050292       0.01441511039       0.01097281094       0.01059716744       0.01043653166       0.00696904106                   0                 nan
               66.42       0.01134597037                   0       0.01436214761       0.01547874961       0.01116162879       0.01078241788      0.009962143853      0.003689492326      0.007716049383                 nan
               66.78       0.01143079073                   0       0.01678467853       0.01541343843       0.01106900117       0.01110871128      0.009566820685      0.008608815427      0.007716049383                 nan
               67.14       0.01152475838                   0       0.01574645099       0.01483496798       0.01132728974       0.01107081914       0.01063419324      0.008198871835       0.01543209877                 nan
                67.5       0.01157631585                   0       0.01661164061       0.01585195635       0.01132907104       0.01098029904       0.01051559629      0.005739210285       0.03086419753                 nan
               67.86       0.01176924059                   0       0.01834201984       0.01590793736       0.01164436122       0.01105187307       0.01077255635      0.004099435918                   0                 nan
               68.22       0.01220332125                   0       0.01557341307       0.01713951961        0.0119169002       0.01150868383        0.0113655411      0.005739210285       0.01543209877                 nan
               68.58       0.01206195399                   0       0.01920720945       0.01664502068       0.01199884002        0.0112350184       0.01027840239      0.006149153876       0.01543209877                 nan
               68.94       0.01218668981                   0       0.02007239907       0.01713951961       0.01204159123       0.01127291053       0.01138530726      0.003689492326       0.01543209877                 nan
                69.3       0.01238460398                   0       0.02041847491       0.01705554809       0.01241032043       0.01140132277       0.01075279019      0.007788928243      0.007716049383                 nan
               69.66       0.01242451944                   0       0.01557341307       0.01756870736       0.01205940423       0.01188760519       0.01059466092      0.004919323101       0.02314814815                 nan
               70.02       0.01269228567                   0        0.0240522713       0.01745674534       0.01248869765       0.01191707685       0.01100975025      0.009018759019       0.01543209877                 nan
               70.38       0.01268729624                   0       0.02301404376       0.01813784764       0.01250294805       0.01177813902       0.01081208867      0.007378984652      0.007716049383                 nan
               70.74       0.01288687356                   0       0.02093758868       0.01888426113       0.01255460577       0.01204127885       0.01100975025      0.009428702611       0.03086419753                 nan
                71.1       0.01301160938                   0       0.02249492999       0.01908019466       0.01247622855       0.01246230259       0.01057489476      0.004919323101      0.007716049383                 nan
               71.46       0.01300246209                   0       0.02128366453       0.01882828011       0.01281289434       0.01199286112       0.01150390421      0.008608815427       0.01543209877                 nan
               71.82       0.01327604932                   0       0.02145670245       0.02006919253        0.0126899846       0.01257176876       0.01148413805      0.004509379509       0.01543209877                 nan
               72.18       0.01328769133                   0       0.02595568845       0.02004120202       0.01263654559       0.01259281995       0.01146437189      0.009428702611       0.01543209877                 nan
               72.54       0.01355379442                   0       0.02733999183       0.02009718304       0.01302843169       0.01274228337       0.01189922738       0.00696904106      0.007716049383                 nan
                72.9       0.01342074288                   0       0.02491746091       0.02089024736       0.01277548703        0.0125991353       0.01140507342      0.008608815427      0.007716049383                 nan
               73.26       0.01322864971                   0       0.02301404376        0.0202557959       0.01235331881       0.01269807588       0.01213642128      0.008198871835       0.02314814815                 nan
               73.62       0.01334590138                   0       0.02733999183       0.02077828534       0.01276301792       0.01245598723       0.01108881488      0.008198871835      0.007716049383                 nan
               73.98       0.01319372368                   0       0.02630176429       0.02049838028       0.01248691635       0.01252335103       0.01067372556       0.00696904106      0.007716049383                 nan
               74.34       0.01352718411                   0       0.02837821937       0.02158067983         0.012686422       0.01282227788       0.01108881488      0.006149153876      0.007716049383                 nan
                74.7       0.01347812135                   0       0.02578265053       0.02167398152       0.01258310657       0.01281175229       0.01132600879      0.005329266693                   0                 nan
               75.06       0.01329683863                   0       0.02509049883       0.02047038978       0.01244950904       0.01275070385         0.011602735       0.00696904106      0.007716049383                 nan
               75.42       0.01346398463                   0       0.02284100583       0.02062900264       0.01255994967       0.01309804843       0.01114811336      0.004099435918      0.007716049383                 nan
               75.78       0.01362697277                   0       0.02768606768       0.02067565349       0.01270779761       0.01317593782       0.01176086427      0.009018759019      0.007716049383                 nan
               76.14       0.01359370988                   0       0.02907037106       0.02099287922       0.01273986102       0.01289595704       0.01257127677      0.006149153876                   0                 nan
                76.5       0.01360119403                   0       0.03028163652       0.02082493618        0.0126988911       0.01306647165       0.01189922738      0.004509379509                   0                 nan
               76.86       0.01339080628                   0       0.02768606768       0.01917349635        0.0126846407       0.01292121846       0.01219571976      0.004919323101                   0                 nan
               77.22       0.01333010151                   0       0.02820518145       0.01952804275       0.01238716352       0.01305594606       0.01187946122       0.00696904106                   0                 nan
               77.58         0.013404943                   0       0.03183897783       0.01969598579        0.0126882033       0.01283490859       0.01150390421      0.007788928243       0.03086419753                 nan
               77.94       0.01330099649                   0       0.03028163652       0.01935076955       0.01248513505       0.01295490036       0.01128647647      0.003689492326       0.02314814815                 nan
                78.3       0.01335504868                   0       0.02716695391       0.01965866511       0.01257063747       0.01288753656       0.01162250116       0.01024858979       0.03086419753                 nan
               78.66       0.01331513321                   0       0.02491746091       0.01925746787        0.0126935472       0.01281806764       0.01130624263      0.006149153876       0.01543209877                 nan
               79.02        0.0131513135                   0       0.02699391599        0.0182404795       0.01223931558       0.01321804019       0.01053536245      0.008198871835      0.007716049383                 nan
               79.38       0.01304154598                   0       0.02093758868       0.01829646051       0.01249404155       0.01273596802       0.01033770086      0.005739210285                   0                 nan
               79.74       0.01310724018                   0        0.0256096126       0.01716751011       0.01244950904       0.01305384094       0.01126671031      0.005329266693      0.007716049383                 nan
                80.1       0.01309559817                   0       0.02612872637       0.01653305865       0.01237113182       0.01326645792       0.01097021793      0.008198871835       0.02314814815                 nan
               80.46       0.01285111595                   0       0.02128366453       0.01663569051       0.01200774652       0.01316120199       0.01059466092      0.007788928243                   0                 nan
