#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               2.394          0.22431598       0.04454035317                   0         2.041442818       0.01713534734       0.01331230998
               2.406        0.2221653861       0.06404447936                   0          1.98570441       0.01720966621       0.01307316669
               2.418        0.2209547026       0.08667648172                   0         1.966967157       0.01593008908        0.0136311677
                2.43        0.2195539433        0.1098168655                   0         1.900977814       0.01606257055       0.01344073879
               2.442        0.2186152821        0.1491048445                   0         1.719898525       0.01493809367       0.01315288112
               2.454        0.2210343029        0.1829553513                   0         1.686540521       0.01386208563       0.01323702413
               2.466        0.2221986565        0.2389614561                   0         1.551692919       0.01296379663       0.01370645356
               2.478        0.2223047977        0.3117889133                   0         1.477816673       0.01343555991       0.01360459623
                2.49        0.2285743957        0.3897259765                   0         1.391362356       0.01336124104       0.01393673969
               2.502        0.2323738213         0.480990479                   0         1.303046312       0.01340324736       0.01411831145
               2.514        0.2342878306        0.5862210604                   0         1.228730294       0.01343879117       0.01411831145
               2.526        0.2383836418        0.7080154591                   0         1.096982274       0.01306073429       0.01376402509
               2.538        0.2436484069        0.8393213193                   0          1.05940479       0.01350341628       0.01375073935
                2.55        0.2496205107        0.9991407243                   0        0.9498647647       0.01308658433       0.01406073992
               2.562        0.2591831675         1.142833332                   0        0.8957675649       0.01331600346       0.01351159606
               2.574        0.2665207297         1.311632628                   0        0.8259375791       0.01243387074       0.01381273946
               2.586        0.2731860648         1.460963259                   0        0.7872208651       0.01212690148       0.01424674026
               2.598        0.2811766695         1.616470776                   0        0.7891603018       0.01231431429         0.013870311
                2.61        0.2933663146         1.760964957                   0        0.7157700468       0.01174238209       0.01395002543
               2.622        0.3037079613         1.920919058                   0        0.6900012626       0.01135140019       0.01375073935
               2.634        0.3178127234         2.083818286                   0        0.6448361573       0.01144833785       0.01445931207
               2.646        0.3293066901          2.20128339                   0        0.6270530381       0.01085701811        0.0140208827
               2.658        0.3443696157         2.304203991                   0        0.6103279115       0.01055004885       0.01414931151
                2.67        0.3605549355         2.405381823                   0        0.5704100202      0.009755160024        0.0141714544
               2.682        0.3772115184         2.461741317                   0        0.5683181274      0.009839172664       0.01447259781
               2.694        0.3938586538         2.539216579                   0        0.5257153478       0.01053712383       0.01412716861
               2.706        0.4113193718         2.563773766                   0        0.5133244703        0.0100976731       0.01380388231
               2.718        0.4313385247           2.6041488      0.007305123002        0.5058797679       0.01029477967       0.01389688247
                2.73        0.4498239596         2.652612574       0.02099902583        0.4952873678      0.009919954049       0.01392788253
               2.742        0.4685396514         2.680328449       0.03588901619        0.4651216499      0.009241390417       0.01368873924
               2.754        0.4914474222         2.665017734       0.03771155615        0.4713944519      0.008756702108       0.01393231111
               2.766        0.5146518634         2.662456086       0.05149261772        0.4771884368      0.008908571112       0.01361788197
               2.778        0.5386921858         2.662924938       0.06293677636        0.4720258227      0.009306015525       0.01351159606
                2.79        0.5620476524         2.640155391        0.1039942498        0.4308828415      0.009913491538       0.01346288168
               2.802        0.5921414928         2.611720182        0.1347244095        0.4041732285       0.00989087275        0.0133078814
               2.814        0.6160449653         2.567186669        0.2160416876        0.4204975433      0.009519278381       0.01337431009
               2.826        0.6441609789         2.477513349        0.2757035376        0.4108523305      0.009674378639       0.01325473845
               2.838        0.6684993589         2.413702259        0.3035288076        0.4097303882       0.01035617353       0.01345402452
                2.85        0.6975102164           2.3516351        0.3654260226        0.4189111041       0.01108643724       0.01336988151
               2.862        0.7317273062         2.295708995        0.4341828476        0.3999225925       0.01118337491         0.013480596
               2.874        0.7612066579         2.220949204        0.5997850904        0.4063903336        0.0108505556       0.01285616629
               2.886        0.7944190245          2.13513258        0.6466427388        0.4065814815       0.01023338582       0.01325916703
               2.898        0.8233895187         2.039050937        0.6766407225        0.3646662963       0.00972284747       0.01346731026
                2.91        0.8562008506         1.949900326        0.8201987378        0.3709057229      0.008814864705       0.01352045322
               2.922        0.8857677424         1.884957178        0.9057582531        0.3874597412      0.009506353359       0.01322373839
               2.934         0.916704002          1.82268085        0.9723399204        0.3673702085      0.009176765309       0.01309530959
               2.946        0.9455434356         1.750773867        0.9973909462        0.3516362719      0.009254315439       0.01321930981
               2.958        0.9753541865          1.65506521         1.137958905        0.3435464011      0.009089521414       0.01317502402
                2.97         1.012839795         1.584169384         1.255425686        0.3618831839        0.0093512531        0.0127675947
               2.982         1.047769815         1.511160614         1.405561439        0.3556386024      0.008927958644       0.01284288055
               2.994         1.079222464         1.441199421         1.521346752          0.34526805      0.009289859248       0.01279859476
               3.006         1.111197502         1.381254092         1.644797926        0.3664065097      0.009671147384       0.01323259555
               3.018         1.144812781         1.326051842         1.771573961        0.3554997916       0.00955482219       0.01249745135
                3.03         1.174913329         1.255276158          1.93861679        0.3532773471      0.009994272923       0.01239559402
               3.042         1.208716135         1.201199497         2.137965147        0.3455385569       0.01058559266       0.01251959425
               3.054           1.2322308         1.155977814         2.243284316        0.3700232964       0.01126738755       0.01233802249
               3.066         1.267684019         1.106341091         2.300964936        0.3645490854       0.01151296296       0.01199259329
               3.078         1.292376099         1.070317123         2.456794438        0.3899086002       0.01205258261       0.01271445175
                3.09         1.327112473         1.045781567         2.464879683        0.3851904389       0.01279577135       0.01207230772
               3.102          1.34648252         1.021557293          2.51931668        0.3962371404       0.01419167368       0.01254173715
               3.114         1.369075184        0.9796182983         2.652983452        0.4118329672       0.01412381731       0.01165602125
               3.126         1.394621816        0.9663085008         2.858531156        0.4097817075       0.01409473601       0.01198373613
               3.138         1.410704245        0.9560091989         3.000577573        0.4115860744       0.01327399714       0.01190845028
                3.15         1.427278573        0.9059537369         3.099589402        0.4459840866       0.01336770355       0.01177116431
               3.162         1.441851892        0.8900258973         3.144657643        0.4685140464       0.01308658433       0.01175787858
               3.174         1.461270487        0.8837168967         3.336271495          0.46390673       0.01349049126       0.01209002204
               3.186         1.477883518        0.8633842703         3.425494055        0.4822168412        0.0134581787       0.01144344943
               3.198         1.484243436        0.8479045825         3.593493194        0.5052525306       0.01388470441       0.01141244937
                3.21         1.494881512        0.8392991081         3.642094909        0.5001726544       0.01412058606        0.0111467346
               3.222         1.499729808        0.8211602739          3.51728502        0.5606550242       0.01457619307       0.01095630569
               3.234         1.507438234        0.8092132939         3.476783279        0.5616620064       0.01341617238       0.01058430501
               3.246          1.51235778        0.7967372894         3.252907623        0.6061748027       0.01295087161       0.01038944751
               3.258         1.514573547        0.7920249209         3.142049099        0.6151908431       0.01216244529       0.01088987699
                3.27         1.512586408        0.7562130933         3.005473591        0.6601443254       0.01160990062       0.01085887694
               3.282         1.509029074        0.7612225522         2.833732862        0.6813784818       0.01118014365       0.01033187598
               3.294         1.506497811        0.7447442756         2.714644753        0.7127310244       0.01143218157       0.01037616177
               3.306         1.504194678        0.7382816946         2.628808889          0.74706759       0.01118014365      0.009990875355
               3.318         1.498337273        0.7342428039         2.495121444        0.7764778718        0.0109087182      0.009703017687
                3.33         1.487075103        0.7322049983         2.468897549        0.8061755942       0.01099273084      0.009955446719
               3.342         1.485058762        0.7392736319         2.460863142        0.8269717784       0.01064375526       0.01003958973
               3.354         1.476229307        0.7283886161         2.409704238        0.8330582141       0.01103796841       0.01025659012
               3.366         1.460652979        0.7348326244         2.169635814        0.8554700159       0.01119306867       0.00994216098
               3.378         1.446116132         0.723089971         2.143370737        0.9054464423       0.01098303707      0.009574588882
                3.39          1.43306377        0.7175474865         1.952123626        0.9248755069       0.01078269924      0.009649874733
               3.402         1.419829893        0.7109696549         1.735072971        0.9792134475      0.009907029027      0.009725160585
               3.414         1.404651729        0.7053777539         1.496943356        0.9855378699      0.009002277518       0.00994216098
               3.426         1.390282297        0.7085459838         1.425784037         1.022555208      0.008123376052      0.009539160246
               3.438         1.373564107        0.7114789358         1.296681449         1.058804324       0.00732525597      0.009362017066
                3.45         1.360016809        0.7087259999         1.221932693          1.05666573      0.007806713024      0.009317731271
               3.462         1.343389932        0.7095104614         1.159894369          1.10293527      0.007819638045      0.009348731327
               3.474         1.329848759          0.71899754         1.059332128         1.103377807      0.007506206272      0.009441731497
               3.486         1.311756631        0.7144648413        0.8593160393           1.1368729      0.008155688606      0.009096302296
               3.498         1.294584617        0.7103553533        0.7449322159          1.18289414      0.008133069818       0.00923801684
                3.51         1.281245832        0.7203164103        0.7503603031         1.192998415      0.008113682286      0.009016587865
               3.522         1.263545597        0.7165764746        0.7770151279         1.228823756      0.007671000297      0.009083016557
               3.534          1.25380978        0.7226651171        0.7687224837         1.266944532       0.00752882506      0.009167159568
               3.546         1.235919796         0.732715339        0.7429273283         1.288427406      0.008045825922      0.009043159342
               3.558         1.225249105        0.7417205654        0.7383507692         1.320249614      0.008242932501      0.009486017292
                3.57         1.212731111        0.7479536311         0.787172098         1.338065535       0.00823646999      0.008693301561
               3.582         1.194594782        0.7575983901         0.807563725          1.32448863      0.008036132156      0.008781873151
               3.594         1.177992955        0.7508234904        0.8071936118         1.336548843       0.00844003908       0.00906087366
               3.606         1.168854833        0.7591550064        0.7682131134         1.370830856      0.009095983924      0.008640158607
               3.618         1.153032153        0.7666267146        0.7532309683         1.408546034      0.008743777087      0.008538301278
                3.63         1.139785134         0.774724296        0.7417062658         1.390648054      0.009112140201       0.00852058696
               3.642         1.129325525         0.790190108        0.6880032265         1.360952568      0.008297863843      0.008330158042
               3.654         1.119501392        0.7980967329         0.694809173         1.370217043      0.008307557609      0.009153873829
               3.666         1.108713858        0.7960291109        0.6762136315         1.381941338      0.008136301073      0.009176016727
               3.678         1.094978203         0.805711556        0.6690157941         1.407047529      0.008423882803      0.008857159002
                3.69         1.087921455        0.8218068486        0.6809217201          1.41713365      0.008730852065      0.008529444119
               3.702         1.081004926        0.8292887125        0.6284732843         1.400282581      0.008860102281      0.008653444345
               3.714         1.075362803        0.8409418849        0.6760622783         1.356428194      0.008588676828      0.008547158437
               3.726         1.062274008        0.8544888273        0.6658837698         1.378608751      0.008927958644      0.008037871795
               3.738         1.052193872        0.8687520968        0.6681812416         1.369192197      0.008908571112      0.008192872077
                3.75         1.044291908        0.8773941608        0.6612253795         1.369845613      0.008433576569      0.008148586282
               3.762           1.0365388        0.8869495197          0.69819629         1.334428136      0.008456195357      0.008268157929
               3.774         1.027963895        0.8943570359        0.6566312511         1.334480823      0.008155688606      0.008330158042
               3.786         1.020092255        0.8989636762        0.6110603157         1.326787771      0.008740545831      0.008378872416
               3.798         1.017281813        0.9042782136        0.6244148136         1.298214142      0.008184769904      0.007967014523
                3.81         1.005251193        0.9095434731        0.6197441451         1.282799744      0.008336638908       0.00781644282
               3.822         1.001408708        0.9079341998        0.6103169955         1.300802749       0.00818800116      0.007847442876
               3.834        0.9956773123        0.9045906282        0.6424814902          1.29450842       0.00736079978      0.007829728558
               3.846        0.9892999999        0.8991862153        0.5895892921         1.271484334      0.007118455625      0.007510870834
               3.858        0.9866400838        0.8976989411        0.5968046211         1.281353299      0.007050599262      0.007479870778
                3.87        0.9779856627        0.8989467546        0.5725702281         1.240628883        0.0065335984      0.007493156516
               3.882        0.9720112605        0.8897484128        0.6012657023         1.236551799      0.006527135889      0.007236298905
               3.894        0.9700689185        0.8914137658        0.5534333145         1.204028877      0.006708086191      0.006970584135
               3.906        0.9654651074        0.8908409514         0.522801419         1.208668775      0.007005361687      0.007338156234
               3.918        0.9614379107        0.8905932376        0.5705798889         1.188971771      0.006943967834      0.007187584531
