#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               2.958         1.019799074         1.518280866         1.122038913        0.3411604804       0.01305616818       0.01196714859
                2.97         1.064801269         1.437490665         1.374693377         0.321413539       0.01319482891       0.01226186935
               2.982         1.102475782         1.377879814         1.666818058        0.3289772482       0.01315386097       0.01153621236
               2.994         1.141535996         1.314290116         1.760341367        0.3223493777       0.01518334982       0.01140495018
               3.006         1.180544539         1.243746088         1.850265624        0.3657365235        0.0147894273       0.01154859559
               3.018         1.222338108         1.179154004           1.9413287        0.3485593922       0.01287969089       0.01161051171
                3.03         1.266665779         1.136417275         2.148233268        0.3510062295       0.01238177282       0.01161794165
               3.042         1.306434173         1.082565187         2.346657824        0.3536904234       0.01180507024       0.01137027715
               3.054         1.340886224         1.024681925         2.366374199        0.3702616038       0.01374947183       0.01111022943
               3.066         1.380833134        0.9907171447         2.543214935        0.3793652467       0.01360450834       0.01153868901
               3.078         1.411857726        0.9609218659         2.717791503        0.4028795422       0.01238807558       0.01182102654
                3.09         1.443682993        0.9293707477         2.976566875        0.4036470345       0.01103613347       0.01175168048
               3.102         1.473858356        0.9064106441         3.053679969        0.4088026508       0.01099201415       0.01164766139
               3.114         1.499791326         0.871093587         3.130065573        0.4085311566       0.01060124301        0.0117640637
               3.126         1.526397573        0.8490747319         3.082457032        0.4298387493       0.01083444514       0.01190770911
               3.138         1.544617472         0.826990173          2.90964527        0.4563330492       0.01149938636       0.01189780253
                3.15         1.559453451        0.8067703936          2.88217055        0.4781333218       0.01178931334       0.01186065286
               3.162          1.58168898         0.794078625         2.956405953        0.4936189473       0.01153720293       0.01183588641
               3.174          1.59648729        0.7729264166          2.88378729        0.5380927421       0.01081553686       0.01171700745
               3.186         1.605194708        0.7651565171         2.893734581        0.5357460726       0.01079977996       0.01103840672
               3.198         1.617772831        0.7630490315         2.892814387        0.5628664406       0.01020101772       0.01113994917
                3.21          1.62621689        0.7441195127         2.824102158        0.6042450728       0.01007181113       0.01073873268
               3.222         1.632932598        0.7337916109         2.813584588        0.6213503029       0.01033337569       0.01092200441
               3.234         1.635738784        0.7240311403         2.697859051        0.6655852191       0.01035228397        0.0111746222
               3.246         1.630796123        0.7182320709         2.653017679        0.6864856378       0.01143635876        0.0105306945
