 119865  5.78778547   
    -0.44272878097535E+01     0.43902968627645E+01     0.36612122429715E+01
     0.10583621044584E+01    -0.22508337184549E+01    -0.42024133819436E+02
     0.58393902652234E+00    -0.12219910914387E+01    -0.44803204290424E+02
    -0.19040936792395E+01     0.67243247313485E+01    -0.21297607673463E+02
    -0.98112607246012E+00     0.88558016988282E+01    -0.19546360956640E+02
    -0.88515767572877E+01    -0.48491887943966E+01    -0.13514839856762E+02
    -0.69214537923788E+01    -0.30416755149155E+01    -0.11963685912386E+02
     0.84759515155255E+00    -0.63337215963402E+01    -0.43540131255530E+02
     0.25880924342536E+01    -0.78183301870203E+01    -0.41819883779211E+02
    -0.17477237083321E+00    -0.28770893427900E+01    -0.62573955753503E+01
    -0.14575781679781E+01    -0.11232037522399E+01    -0.43695263878341E+01
    -0.24791197096519E+01     0.27805324154533E+01    -0.16143891602309E+02
     0.36309994539902E-03     0.21617343506023E+01    -0.14549780072745E+02
    -0.13661019760177E+01     0.62502048780361E+01    -0.13262768959644E+02
    -0.29693111165180E+01     0.85945056950397E+01    -0.13761760083817E+02
    -0.14808002805014E+02    -0.35155256882907E+01    -0.30199943596374E+02
    -0.11782661984393E+02    -0.41003317089667E+01    -0.30150840333280E+02
     0.45728085542349E+01    -0.78251079607466E+01    -0.29919430820226E+02
     0.47637709890663E+01    -0.10025051131670E+02    -0.31702738649594E+02
     0.73417118639393E+01    -0.94145396263041E+01    -0.46613931157734E+01
     0.42481205763121E+01    -0.93679575596829E+01    -0.49796630432613E+01
     0.13250593947351E+02    -0.54772273070872E+01    -0.37437935529037E+02
     0.10806304180436E+02    -0.61606491114662E+01    -0.35965984798761E+02
     0.87972511914656E+01     0.29919381955199E+01    -0.12965839958006E+02
     0.11073438679978E+02     0.45554721451943E+01    -0.13011486714264E+02
     0.69276147610435E+01    -0.14338454955490E+02    -0.32560679311286E+02
     0.89191019135712E+01    -0.14051545409315E+02    -0.34924687969042E+02
    -0.18435712166244E+01    -0.48710554606610E+01    -0.37592288491669E+02
    -0.18816853874420E+01    -0.65224356666717E+01    -0.39909179836865E+02
     0.63909043271592E+01    -0.12891069234125E+02    -0.60024078089066E+01
     0.65972547779242E+01    -0.15662633470274E+02    -0.48760120465536E+01
     0.28896005670205E+01    -0.17110538030950E+01    -0.15172268752444E+02
     0.33896249194508E+01     0.34004398955622E+00    -0.13074300037749E+02
     0.86784471640582E+01     0.75313982283440E+01    -0.95348080054641E+00
     0.63009393307170E+01     0.60152999997829E+01    -0.53318117747917E+00
    -0.12689312110257E+01     0.23734359590288E+01    -0.89300556975249E+01
    -0.20681387652464E+01     0.23331174508269E+01    -0.11532473687702E+02
     0.51181905074268E+01     0.12520426150778E+02    -0.23003422035382E+02
     0.70680139083711E+01     0.10286888005696E+02    -0.23493192870769E+02
     0.38151440409643E+00    -0.15600807266706E+01    -0.37815226073757E+02
     0.24185441012661E+01    -0.33195933823968E+01    -0.36667925388391E+02
     0.56364574596209E+01     0.92550197452021E+01    -0.42720897648045E+02
     0.39435029824310E+01     0.99451630450671E+01    -0.40566538630347E+02
     0.10531460483876E+02     0.11195740175352E+02    -0.25325519059000E+02
     0.11341431720734E+02     0.85919776294925E+01    -0.23855396353084E+02
    -0.10890631332768E+02     0.30501310435142E+01    -0.21718851824035E+02
    -0.10824640672251E+02     0.61344236828542E+00    -0.23687698052129E+02
    -0.62677984530497E+01     0.12905296411604E+02    -0.20070777114375E+02
    -0.52669036451190E+01     0.10311117050411E+02    -0.20680866841432E+02
    -0.73275459621457E+01     0.24782603277961E+01    -0.30237425930304E+02
    -0.10108284659363E+02     0.23478343336270E+01    -0.29240681718618E+02
     0.13058099807094E+02     0.94310822517740E+01    -0.36749650715937E+02
     0.11640979655617E+02     0.11907300653764E+02    -0.35870986563639E+02
     0.22603385467411E+01     0.80590558383463E+01    -0.13811149872153E+02
     0.46422368554964E+01     0.81694545102336E+01    -0.15853263782820E+02
    -0.12394600526495E+01     0.42594279799861E+01    -0.28394971877293E+02
    -0.32142738327801E+01     0.62424174560820E+01    -0.28531628792688E+02
     0.59541702251625E+01     0.90098323357272E+00    -0.20763193002773E+02
     0.85192388585675E+01     0.66427304530147E+00    -0.22170125924380E+02
     0.12114140241499E+02    -0.13321293444131E+02    -0.52961719854292E+01
     0.14926302026770E+02    -0.12201578947893E+02    -0.57889418948092E+01
